*,False,False
A,True,True
A6,False,False
AAAA,True,False
AFSDB,False,False
APL,False,False
ATMA,False,False
AXFR,False,False
CAA,False,False
CDNSKEY,False,False
CDS,False,False
CERT,False,False
CNAME,True,False
DHCID,False,False
DLV,False,False
DNAME,False,False
DNSKEY,True,False
DS,False,False
EID,False,False
GID,False,False
GPOS,False,False
HINFO,False,False
HIP,False,False
IPSECKEY,False,False
ISDN,False,False
IXFR,False,False
KEY,False,False
KX,False,False
LOC,False,False
MAILA,False,False
MAILB,False,False
MB,False,False
MD,False,False
MF,False,False
MG,False,False
MINFO,False,False
MR,False,False
MX,True,False
NAPTR,False,False
NB,False,False
NBSTAT,False,False
NIMLOC,False,False
NS,False,False
NSAP,False,False
NSAP-PTR,False,False
NSEC,False,False
NSEC3,False,False
NSEC3PARAM,False,False
NULL,False,False
NXT,False,False
OPT,False,False
PTR,True,False
PX,False,False
RP,False,False
RRSIG,False,False
RT,False,False
SIG,False,False
SINK,False,False
SOA,True,False
SPF,False,False
SRV,True,False
SSHFP,False,False
TA,False,False
TKEY,False,False
TLSA,False,False
TSIG,False,False
TXT,True,False
UID,False,False
UINFO,False,False
UNSPEC,False,False
URI,False,False
WKS,False,False
X25,False,False